tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.59  -0.0713805  -0.101106  -0.15  -0.05  0.272986  0.3039  0.2  0.4
1.6  -0.0721455  -0.100775  -0.15  -0.05  0.275345  0.304559  0.2  0.4
1.61  -0.0728409  -0.100448  -0.15  -0.05  0.277634  0.305124  0.2  0.4
1.62  -0.073469  -0.100131  -0.15  -0.05  0.279855  0.305599  0.2  0.4
1.63  -0.0740323  -0.0998303  -0.15  -0.05  0.282015  0.30599  0.2  0.4
1.64  -0.0745327  -0.0995494  -0.15  -0.05  0.284117  0.306301  0.2  0.4
1.65  -0.0749722  -0.0992917  -0.15  -0.05  0.286165  0.306537  0.2  0.4
1.66  -0.0753523  -0.0990598  -0.15  -0.05  0.288164  0.306702  0.2  0.4
1.67  -0.0756746  -0.0988556  -0.15  -0.05  0.290119  0.306799  0.2  0.4
1.68  -0.0759403  -0.0986802  -0.15  -0.05  0.292034  0.306835  0.2  0.4
1.69  -0.0761505  -0.0985344  -0.15  -0.05  0.293913  0.306812  0.2  0.4
1.7  -0.0763059  -0.0984183  -0.15  -0.05  0.295762  0.306736  0.2  0.4
1.71  -0.0764073  -0.0983315  -0.15  -0.05  0.297585  0.30661  0.2  0.4
1.72  -0.0764549  -0.0982734  -0.15  -0.05  0.299386  0.306438  0.2  0.4
1.73  -0.0764491  -0.0982429  -0.15  -0.05  0.301172  0.306226  0.2  0.4
1.74  -0.0763899  -0.0982387  -0.15  -0.05  0.302946  0.305976  0.2  0.4
1.75  -0.076277  -0.098259  -0.15  -0.05  0.304714  0.305695  0.2  0.4
1.76  -0.0761102  -0.098302  -0.15  -0.05  0.30648  0.305385  0.2  0.4
1.77  -0.0758889  -0.0983654  -0.15  -0.05  0.30825  0.305052  0.2  0.4
1.78  -0.0756122  -0.0984467  -0.15  -0.05  0.310029  0.3047  0.2  0.4
1.79  -0.0752795  -0.0985432  -0.15  -0.05  0.311822  0.304334  0.2  0.4
1.8  -0.0748894  -0.0986519  -0.15  -0.05  0.313634  0.30396  0.2  0.4
1.81  -0.0744409  -0.0987695  -0.15  -0.05  0.315471  0.303582  0.2  0.4
1.82  -0.0739324  -0.0988923  -0.15  -0.05  0.317339  0.303206  0.2  0.4
1.83  -0.0733625  -0.0990165  -0.15  -0.05  0.319242  0.302838  0.2  0.4
1.84  -0.0727293  -0.0991378  -0.15  -0.05  0.321186  0.302484  0.2  0.4
1.85  -0.072031  -0.0992514  -0.15  -0.05  0.323178  0.302152  0.2  0.4
1.86  -0.0712655  -0.0993521  -0.15  -0.05  0.325222  0.301849  0.2  0.4
1.87  -0.0704308  -0.0994344  -0.15  -0.05  0.327324  0.301584  0.2  0.4
1.88  -0.0695246  -0.0994919  -0.15  -0.05  0.329491  0.301365  0.2  0.4
1.89  -0.0685444  -0.0995178  -0.15  -0.05  0.331728  0.301202  0.2  0.4
1.9  -0.0674878  -0.0995044  -0.15  -0.05  0.334041  0.301108  0.2  0.4
1.91  -0.0663523  -0.0994432  -0.15  -0.05  0.336436  0.301093  0.2  0.4
1.92  -0.0651351  -0.0993248  -0.15  -0.05  0.338918  0.301173  0.2  0.4
1.93  -0.0638337  -0.0991386  -0.15  -0.05  0.341494  0.301362  0.2  0.4
1.94  -0.0624451  -0.098873  -0.15  -0.05  0.34417  0.301677  0.2  0.4
1.95  -0.0609668  -0.098515  -0.15  -0.05  0.346951  0.302138  0.2  0.4
1.96  -0.059396  -0.0980498  -0.15  -0.05  0.349842  0.302767  0.2  0.4
1.97  -0.0577299  -0.0974614  -0.15  -0.05  0.35285  0.303586  0.2  0.4
1.98  -0.055966  -0.0967314  -0.15  -0.05  0.35598  0.304624  0.2  0.4
1.99  -0.0541017  -0.0958396  -0.15  -0.05  0.359237  0.305911  0.2  0.4
2  -0.0521348  -0.0947631  -0.15  -0.05  0.362625  0.307479  0.2  0.4
2.01  -0.050063  -0.0934766  -0.15  -0.05  0.366149  0.309368  0.2  0.4
2.02  -0.0478846  -0.0919517  -0.15  -0.05  0.369813  0.311619  0.2  0.4
2.03  -0.0455981  -0.0901565  -0.15  -0.05  0.373619  0.314279  0.2  0.4
2.04  -0.0432022  -0.0880555  -0.15  -0.05  0.377572  0.317402  0.2  0.4
2.05  -0.0406965  -0.0856091  -0.15  -0.05  0.381672  0.321047  0.2  0.4
2.06  -0.0380809  -0.082773  -0.15  -0.05  0.385921  0.325281  0.2  0.4
2.07  -0.0353562  -0.0794976  -0.15  -0.05  0.390317  0.330176  0.2  0.4
2.08  -0.0325238  -0.0757278  -0.15  -0.05  0.394861  0.335816  0.2  0.4
2.09  -0.0295863  -0.071402  -0.15  0.15  0.399548  0.342293  0.2  0.7
2.1  -0.0265475  -0.0664513  -0.15  0.15  0.404374  0.349709  0.2  0.7
2.11  -0.0234122  -0.0608048  -0.15  0.15  0.409332  0.358169  0.2  0.7
2.12  -0.020187  -0.0544116  -0.15  0.15  0.414413  0.367736  0.2  0.7
2.13  -0.01688  -0.0472611  -0.15  0.15  0.419605  0.378396  0.2  0.7
2.14  -0.0135008  -0.0393914  -0.15  0.15  0.424895  0.390051  0.2  0.7
2.15  -0.0100609  -0.0308882  -0.15  0.15  0.430267  0.402529  0.2  0.7
2.16  -0.00657265  -0.0218716  -0.15  0.15  0.435703  0.41561  0.2  0.7
2.17  -0.00304991  -0.0124735  -0.15  0.15  0.441184  0.429074  0.2  0.7
2.18  0.000492887  -0.00282748  -0.15  0.15  0.446691  0.442718  0.2  0.7
2.19  0.00404075  0.00693086  -0.15  0.15  0.452204  0.456345  0.2  0.7
2.2  0.00757851  0.0166638  -0.15  0.15  0.457703  0.469768  0.2  0.7
2.21  0.0110911  0.0262306  -0.15  0.15  0.463168  0.482799  0.2  0.7
2.22  0.0145637  0.0354868  -0.15  0.15  0.468582  0.49525  0.2  0.7
2.23  0.0179826  0.0442867  -0.15  0.15  0.473928  0.506933  0.2  0.7
2.24  0.0213347  0.0524964  -0.15  0.15  0.47919  0.517685  0.2  0.7
2.25  0.0246086  0.0600115  -0.15  0.15  0.484356  0.527401  0.2  0.7
2.26  0.0277941  0.066771  -0.15  0.15  0.489415  0.536048  0.2  0.7
2.27  0.0308828  0.0727609  -0.15  0.15  0.494358  0.543673  0.2  0.7
2.28  0.0338679  0.078009  -0.15  0.15  0.49918  0.550381  0.2  0.7
2.29  0.0367441  0.0825686  0.05  0.15  0.503876  0.556306  0.5  0.7
2.3  0.0395076  0.0864976  0.05  0.15  0.508444  0.561564  0.5  0.7
2.31  0.0421558  0.0898527  0.05  0.15  0.512881  0.566254  0.5  0.7
2.32  0.044687  0.0926889  0.05  0.15  0.517187  0.570456  0.5  0.7
2.33  0.0471007  0.0950586  0.05  0.15  0.521364  0.574239  0.5  0.7
2.34  0.0493971  0.0970119  0.05  0.15  0.525411  0.577658  0.5  0.7
2.35  0.0515772  0.0985958  0.05  0.15  0.52933  0.580758  0.5  0.7
2.36  0.0536425  0.099854  0.05  0.15  0.533124  0.583576  0.5  0.7
2.37  0.0555952  0.100827  0.05  0.15  0.536795  0.586145  0.5  0.7
2.38  0.0574376  0.101553  0.05  0.15  0.540346  0.58849  0.5  0.7
2.39  0.0591725  0.102067  0.05  0.15  0.543779  0.590632  0.5  0.7
2.4  0.060803  0.102398  0.05  0.15  0.547098  0.592588  0.5  0.7
2.41  0.0623322  0.102577  0.05  0.15  0.550307  0.594375  0.5  0.7
2.42  0.0637636  0.102628  0.05  0.15  0.553408  0.596004  0.5  0.7
2.43  0.0651004  0.102574  0.05  0.15  0.556406  0.597486  0.5  0.7
2.44  0.0663461  0.102437  0.05  0.15  0.559304  0.598831  0.5  0.7
2.45  0.067504  0.102234  0.05  0.15  0.562105  0.600046  0.5  0.7
2.46  0.0685774  0.101981  0.05  0.15  0.564815  0.601138  0.5  0.7
2.47  0.0695697  0.101693  0.05  0.15  0.567436  0.602115  0.5  0.7
2.48  0.0704838  0.101381  0.05  0.15  0.569974  0.602982  0.5  0.7
2.49  0.0713228  0.101057  0.05  0.15  0.572431  0.603745  0.5  0.7
2.5  0.0720895  0.100728  0.05  0.15  0.574812  0.604408  0.5  0.7
2.51  0.0727865  0.100404  0.05  0.15  0.577122  0.604978  0.5  0.7
2.52  0.0734163  0.10009  0.05  0.15  0.579364  0.605458  0.5  0.7
2.53  0.0739811  0.0997908  0.05  0.15  0.581543  0.605854  0.5  0.7
2.54  0.0744831  0.0995119  0.05  0.15  0.583664  0.606169  0.5  0.7
