tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
1.64  0.265395  0.321388  0.3  0.5  -0.0314206  -0.0672468  -0.15  -0.05
1.65  0.269706  0.329968  0.3  0.5  -0.0331322  -0.0709019  -0.15  -0.05
1.66  0.273957  0.338489  0.3  0.5  -0.0348068  -0.0745201  -0.15  -0.05
1.67  0.278145  0.346006  0.3  0.5  -0.0364426  -0.0772397  -0.15  -0.05
1.68  0.282267  0.353457  0.3  0.5  -0.0380385  -0.0799194  -0.15  -0.05
1.69  0.286319  0.359651  0.3  0.5  -0.0395933  -0.0820789  -0.15  -0.05
1.7  0.290299  0.365773  0.3  0.5  -0.0411066  -0.0841968  -0.15  -0.05
1.71  0.294205  0.370786  0.3  0.5  -0.0425776  -0.0859402  -0.15  -0.05
1.72  0.298037  0.375723  0.3  0.5  -0.0440062  -0.0876411  -0.15  -0.05
1.73  0.301792  0.379775  0.3  0.5  -0.0453921  -0.0890358  -0.15  -0.05
1.74  0.305471  0.383751  0.3  0.5  -0.0467352  -0.0903877  -0.15  -0.05
1.75  0.309074  0.38705  0.3  0.5  -0.0480355  -0.0914769  -0.15  -0.05
1.76  0.3126  0.390274  0.3  0.5  -0.0492933  -0.0925236  -0.15  -0.05
1.77  0.316049  0.392887  0.3  0.5  -0.0505087  -0.0933972  -0.15  -0.05
1.78  0.319424  0.395425  0.3  0.5  -0.0516821  -0.0942288  -0.15  -0.05
1.79  0.322724  0.397551  0.3  0.5  -0.0528138  -0.0948885  -0.15  -0.05
1.8  0.325951  0.399603  0.3  0.5  -0.0539043  -0.0955069  -0.15  -0.05
1.81  0.329106  0.401223  0.3  0.5  -0.054954  -0.0960456  -0.15  -0.05
1.82  0.33219  0.402773  0.3  0.5  -0.0559635  -0.0965439  -0.15  -0.05
1.83  0.335205  0.404003  0.3  0.5  -0.0569332  -0.0969732  -0.15  -0.05
1.84  0.338152  0.405166  0.3  0.5  -0.0578636  -0.0973632  -0.15  -0.05
1.85  0.341034  0.406133  0.3  0.5  -0.0587554  -0.0976769  -0.15  -0.05
1.86  0.343852  0.407037  0.3  0.5  -0.059609  -0.0979525  -0.15  -0.05
1.87  0.346608  0.407709  0.3  0.5  -0.060425  -0.0982139  -0.15  -0.05
1.88  0.349305  0.408322  0.3  0.5  -0.061204  -0.0984383  -0.15  -0.05
1.89  0.351943  0.408857  0.3  0.5  -0.0619465  -0.0986073  -0.15  -0.05
